filename,filepath,resolution,phash,manual_review,product_name,brands,categories,image_url,source,licence
8908013328222.jpg,data\raw\packaging\8908013328222.jpg,3472x4624,d0bf6a60681a6cf9,,Nutty Chips,Open Secret,en:snacks;en:salty-snacks;en:appetizers;en:chips-and-fries;en:crisps,https://images.openfoodfacts.org/images/products/890/801/332/8222/front_en.3.full.jpg,open_food_facts,CC-BY-SA
8908013524181.jpg,data\raw\packaging\8908013524181.jpg,744x1200,d9c236c9073e687c,,Popped potato chips Italian Cheese flavour,,en:plant-based-foods-and-beverages;en:plant-based-foods;en:snacks;en:cereals-and-potatoes;en:salty-snacks;en:appetizers;en:chips-and-fries;en:potatoes-and-their-products;en:crisps;en:salty-snacks-made-from-potato;en:potato-crisps,https://images.openfoodfacts.org/images/products/890/801/352/4181/front_fr.3.full.jpg,open_food_facts,CC-BY-SA
8908014658489.jpg,data\raw\packaging\8908014658489.jpg,3024x4032,a914de3d9f2f1320,,kettle style cream and onion,the theather project,en:plant-based-foods-and-beverages;en:plant-based-foods;en:snacks;en:cereals-and-potatoes;en:salty-snacks;en:appetizers;en:chips-and-fries;en:potatoes-and-their-products;en:crisps;en:salty-snacks-made-from-potato;en:potato-crisps,https://images.openfoodfacts.org/images/products/890/801/465/8489/front_en.3.full.jpg,open_food_facts,CC-BY-SA
8908015676215.jpg,data\raw\packaging\8908015676215.jpg,3072x4080,b9f9262666c46d68,,Purple Sweet Potato with Panipuri Masala,To Be Honest Crunchies,en:plant-based-foods-and-beverages;en:plant-based-foods;en:snacks;en:cereals-and-potatoes;en:salty-snacks;en:appetizers;en:chips-and-fries;en:crisps;en:sweet-potatoes-and-their-products;en:sweet-potato-crisps;en:Sweet pot,https://images.openfoodfacts.org/images/products/890/801/567/6215/front_en.3.full.jpg,open_food_facts,CC-BY-SA
8908015836114.jpg,data\raw\packaging\8908015836114.jpg,1464x1983,a3a0547d6787f158,,The Healthy Binge Moringa Jowar Crispies,The Healthy Binge,en:chips-and-fries,https://images.openfoodfacts.org/images/products/890/801/583/6114/front_en.13.full.jpg,open_food_facts,CC-BY-SA
8908016029287.jpg,data\raw\packaging\8908016029287.jpg,2560x4006,95566a3964e37625,,Pasta Crunch,Crax,en:snacks;en:salty-snacks;en:appetizers;en:chips-and-fries;en:crisps;en:Pasta chips,https://images.openfoodfacts.org/images/products/890/801/602/9287/front_en.3.full.jpg,open_food_facts,CC-BY-SA
8908017770010.jpg,data\raw\packaging\8908017770010.jpg,1706x3264,89ca523535aa1b7e,,Mala Chanachur,Halder's,en:snacks;en:salty-snacks;en:appetizers;en:chips-and-fries;en:crisps,https://images.openfoodfacts.org/images/products/890/801/777/0010/front_en.3.full.jpg,open_food_facts,CC-BY-SA
8908018906807.jpg,data\raw\packaging\8908018906807.jpg,2907x3905,8aaa28ab2d7d2d6c,,Troo Good Magic Masala Jowar Ribbons,Troo Good,en:snacks;en:salty-snacks;en:appetizers;en:chips-and-fries;en:crisps,https://images.openfoodfacts.org/images/products/890/801/890/6807/front_en.3.full.jpg,open_food_facts,CC-BY-SA
8908019319095.jpg,data\raw\packaging\8908019319095.jpg,1877x2196,cbb86ce2b2d8c8c5,,Yummy Tomato Potato Chips,Chakote,en:plant-based-foods-and-beverages;en:plant-based-foods;en:snacks;en:cereals-and-potatoes;en:salty-snacks;en:appetizers;en:chips-and-fries;en:potatoes-and-their-products;en:crisps;en:salty-snacks-made-from-potato;en:potato-crisps,https://images.openfoodfacts.org/images/products/890/801/931/9095/front_en.4.full.jpg,open_food_facts,CC-BY-SA
8908019822243.jpg,data\raw\packaging\8908019822243.jpg,1733x2923,974412107c7f7f70,,Flavours of Calicut Jackfruit Chips,Flavours of Calicut,en:snacks;en:salty-snacks;en:appetizers;en:chips-and-fries;en:crisps,https://images.openfoodfacts.org/images/products/890/801/982/2243/front_en.4.full.jpg,open_food_facts,CC-BY-SA
8908023134066.jpg,data\raw\packaging\8908023134066.jpg,3008x4000,d5ef6a209d82e698,,Beetroot chips Mint,Krunchillo,en:snacks;en:salty-snacks;en:appetizers;en:chips-and-fries;en:crisps,https://images.openfoodfacts.org/images/products/890/802/313/4066/front_en.3.full.jpg,open_food_facts,CC-BY-SA
8908024977211.jpg,data\raw\packaging\8908024977211.jpg,1080x1440,bcdbd580e0e99274,,Multigrain Chips,Superyou,en:snacks;en:salty-snacks;en:appetizers;en:chips-and-fries;en:crisps,https://images.openfoodfacts.org/images/products/890/802/497/7211/front_en.4.full.jpg,open_food_facts,CC-BY-SA
8909081002083.jpg,data\raw\packaging\8909081002083.jpg,3024x4032,c22735007b387f67,,Bingo Potato Chips Himalayan Pink Salt,Bingo,en:plant-based-foods-and-beverages;en:plant-based-foods;en:snacks;en:cereals-and-potatoes;en:salty-snacks;en:appetizers;en:chips-and-fries;en:potatoes-and-their-products;en:crisps;en:salty-snacks-made-from-potato;en:potato-crisps,https://images.openfoodfacts.org/images/products/890/908/100/2083/front_en.3.full.jpg,open_food_facts,CC-BY-SA
8909081005589.jpg,data\raw\packaging\8909081005589.jpg,3024x4032,9781387e5745886f,,,,en:snacks;en:salty-snacks;en:appetizers;en:chips-and-fries;en:crisps,https://images.openfoodfacts.org/images/products/890/908/100/5589/front_en.6.full.jpg,open_food_facts,CC-BY-SA
8909081008030.jpg,data\raw\packaging\8909081008030.jpg,2976x3968,d5c6a53c8076fb90,,Butter & Garlic Chips,Bingo,en:plant-based-foods-and-beverages;en:plant-based-foods;en:snacks;en:cereals-and-potatoes;en:salty-snacks;en:appetizers;en:chips-and-fries;en:potatoes-and-their-products;en:crisps;en:salty-snacks-made-from-potato;en:potato-crisps,https://images.openfoodfacts.org/images/products/890/908/100/8030/front_en.5.full.jpg,open_food_facts,CC-BY-SA
8919654675019.jpg,data\raw\packaging\8919654675019.jpg,1908x2233,d18d4f954fc01dd8,,,,en:snacks;en:salty-snacks;en:appetizers;en:chips-and-fries;en:crisps;en:banana-crisps,https://images.openfoodfacts.org/images/products/891/965/467/5019/front_en.3.full.jpg,open_food_facts,CC-BY-SA
9519010500628.jpg,data\raw\packaging\9519010500628.jpg,1970x4160,c8f09692938dee3c,,,,en:snacks;en:salty-snacks;en:appetizers;en:chips-and-fries;en:crisps;en:corn-chips,https://images.openfoodfacts.org/images/products/951/901/050/0628/front_en.3.full.jpg,open_food_facts,CC-BY-SA
9557062361217.jpg,data\raw\packaging\9557062361217.jpg,3133x8942,e005d0151ffebe15,,Mister potato crisp,Mister Potato,en:plant-based-foods-and-beverages;en:plant-based-foods;en:snacks;en:cereals-and-potatoes;en:salty-snacks;en:appetizers;en:chips-and-fries;en:potatoes-and-their-products;en:crisps;en:salty-snacks-made-from-potato;en:potato-crisps;en:flavoured-potato-crisps;en:barbecue-crisps,https://images.openfoodfacts.org/images/products/955/706/236/1217/front_en.26.full.jpg,open_food_facts,CC-BY-SA
