spike,n_rows,kappa_text_legibility,n_text_legibility,mean_s1_text_legibility,mean_s2_text_legibility,kappa_regional_appropriateness,n_regional_appropriateness,mean_s1_regional_appropriateness,mean_s2_regional_appropriateness,kappa_packaging_plausibility,n_packaging_plausibility,mean_s1_packaging_plausibility,mean_s2_packaging_plausibility,kappa_visual_quality,n_visual_quality,mean_s1_visual_quality,mean_s2_visual_quality
v2,78,0.8438751000800641,78,0.28205128205128205,0.2948717948717949,0.46502057613168724,78,1.0384615384615385,1.2435897435897436,0.7419354838709677,78,0.6410256410256411,0.6666666666666666,0.8567931456548348,78,1.0128205128205128,0.9230769230769231
v3,12,1.0,12,0.5,0.5,0.3999999999999999,12,1.3333333333333333,1.6666666666666667,0.7966101694915254,12,1.75,1.5833333333333333,1.0,12,1.3333333333333333,1.3333333333333333
v4,12,,12,1.0,1.0,0.6470588235294117,12,1.3333333333333333,1.6666666666666667,0.06250000000000011,12,2.1666666666666665,2.4166666666666665,0.7894736842105263,12,1.25,1.4166666666666667
v5,18,,18,1.0,1.0,1.0,18,2.2222222222222223,2.2222222222222223,0.7692307692307692,18,2.3333333333333335,2.4444444444444446,,18,2.0,2.0
flux,24,0.7402597402597403,24,1.375,1.3333333333333333,,0,,,0.5591836734693877,24,1.8333333333333333,1.9583333333333333,0.5537190082644627,24,1.8333333333333333,1.875
